num,x,y,targetX,targetY,errorX,errorY,tot_error,PID_x,PID_y
98,0.7,-5.7,0,0,-0.7,5.7,5.742821606144492,1.0475049813606798,4.0390308887530555
99,0.9,-3.8,0,0,-0.9,3.8,3.905124837953327,1.401677801959337,2.909230438580017
100,1.0,-2.1,0,0,-1.0,2.1,2.3259406699226015,1.2284508517921546,4.297507608670977
101,1.0,-0.5,0,0,-1.0,0.5,1.118033988749895,0.8635167582035066,4.842453163945185
102,1.0,1.0,0,0,-1.0,-1.0,1.4142135623730951,0.8835603458881378,5.148904871670202
103,0.9,2.2,0,0,-0.9,-2.2,2.3769728648009427,0.4505592379281959,4.797272462236834
104,0.8,3.3,0,0,-0.8,-3.3,3.395585369269929,0.42846716668797125,4.88339170594495
105,0.6,4.1,0,0,-0.6,-4.1,4.1436698710201325,0.10931929249241823,3.6166641134947577
106,0.4,4.7,0,0,-0.4,-4.7,4.7169905660283025,-0.16218121397256235,3.9272746936011167
107,0.1,5.0,0,0,-0.1,-5.0,5.000999900019995,-0.6733789362031842,2.9489056028444187
108,-0.2,5.1,0,0,0.2,-5.1,5.103920062069938,-0.8398847441561899,2.3339460765483593
109,-0.5,5.0,0,0,0.5,-5.0,5.024937810560445,-1.031837133386303,1.59329498140727
110,-0.7,4.7,0,0,0.7,-4.7,4.751841748206689,-0.7354604070375576,0.7575420671417998
111,-0.9,4.3,0,0,0.9,-4.3,4.393176527297759,-0.6927661409497579,0.6051831028222396
112,-1.0,3.7,0,0,1.0,-3.7,3.83275357934736,-0.5434895438548153,-0.7707336784578707
113,-1.1,3.1,0,0,1.1,-3.1,3.2893768406797057,-0.6031885205555237,-0.9320908527662
114,-0.8,1.9,0,0,0.8,-1.9,2.0615528128088303,1.0887196134106385,-3.906337968975729
115,-0.5,1.3,0,0,0.5,-1.3,1.392838827718412,1.2450143556041613,-1.8673434311237112
116,-0.2,0.8,0,0,0.2,-0.8,0.8246211251235323,1.4111373230031585,-1.7398793342993413
117,0.0,0.3,0,0,0.0,-0.3,0.3,0.9248711846735373,-1.5190963437324496
118,0.2,0.0,0,0,-0.2,0.0,0.2,1.1982691316532827,-1.3085770517479973
119,0.7,-0.3,0,0,-0.7,0.3,0.7615773105863908,2.6114092170449505,-1.4501524730236772
120,0.9,-0.4,0,0,-0.9,0.4,0.9848857801796105,1.6108166794570096,-0.7562787170306742
